# Residuals   
# Time        	Ux            	Uy            	Uz            	p             	k             	epsilon       
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	7.726068e-01
2             	1.554380e-01	2.165645e-01	5.891204e-02	4.913211e-01	5.648663e-01	5.876879e-01
3             	6.399508e-01	3.906565e-01	2.163683e-01	6.311855e-02	3.862340e-01	3.474594e-01
4             	5.384864e-01	2.539125e-01	1.910532e-01	5.649618e-02	6.522640e-01	5.859176e-01
5             	3.598172e-01	2.854171e-01	1.279465e-01	8.123908e-02	3.982697e-01	1.424125e-01
6             	2.088742e-01	2.420083e-01	8.450662e-02	4.573032e-01	2.966226e-01	2.204671e-01
7             	1.786765e-01	1.944603e-01	8.403119e-02	1.202940e-01	1.913996e-01	1.667795e-01
8             	1.944722e-01	1.677494e-01	1.013745e-01	1.029358e-01	1.467895e-01	1.175354e-01
9             	1.562677e-01	1.670512e-01	1.002097e-01	1.745399e-01	1.161792e-01	8.272718e-02
10            	1.319670e-01	1.973051e-01	9.311538e-02	2.761366e-01	8.870059e-02	6.002435e-02
11            	1.190244e-01	2.138652e-01	9.158734e-02	1.264597e-01	7.060890e-02	4.298407e-02
12            	1.108738e-01	1.804814e-01	7.124988e-02	1.294980e-01	5.756813e-02	4.376756e-02
13            	8.109492e-02	1.432674e-01	4.597005e-02	3.759170e-01	4.975154e-02	4.019166e-02
14            	6.882739e-02	1.317216e-01	4.229144e-02	1.609473e-01	4.494861e-02	3.660177e-02
15            	6.015105e-02	1.152737e-01	4.772655e-02	1.165780e-01	4.126931e-02	3.441904e-02
16            	4.779194e-02	1.146836e-01	4.632337e-02	1.604093e-01	3.773561e-02	3.177318e-02
17            	3.787207e-02	1.269768e-01	4.551564e-02	4.472181e-01	3.447596e-02	2.897193e-02
18            	3.785819e-02	1.240178e-01	4.151248e-02	1.710872e-01	3.206988e-02	2.721178e-02
19            	3.576321e-02	1.066486e-01	3.237673e-02	1.465607e-01	3.023336e-02	2.555331e-02
20            	2.938258e-02	9.011687e-02	2.445470e-02	2.864680e-01	2.872291e-02	2.409696e-02
21            	2.522591e-02	7.941279e-02	2.387134e-02	2.125634e-01	2.745140e-02	2.286609e-02
22            	2.117887e-02	7.473222e-02	2.459478e-02	1.304446e-01	2.628044e-02	2.141456e-02
23            	1.754514e-02	7.674987e-02	2.520760e-02	1.335758e-01	2.525175e-02	2.021200e-02
