# Residuals   
# Time        	Ux            	Uy            	Uz            	p             	k             	epsilon       
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	4.541891e-01	4.725517e-01	1.490034e-01	3.558452e-02	7.856521e-01	8.591790e-01
3             	4.244561e-01	3.776713e-01	1.224672e-01	4.124664e-02	3.043762e-01	3.907594e-01
4             	1.403524e-01	2.457645e-01	1.034251e-01	1.252839e-01	2.953247e-01	3.453687e-01
5             	6.799866e-02	2.177861e-01	8.040096e-02	2.580182e-01	2.219967e-01	2.831597e-01
6             	7.609345e-02	1.643683e-01	1.118393e-01	9.435004e-02	1.634379e-01	2.120071e-01
7             	1.189168e-01	1.875301e-01	1.403827e-01	4.043960e-02	1.145918e-01	1.646887e-01
8             	1.208197e-01	1.782516e-01	1.153296e-01	3.973724e-02	8.980945e-02	1.362065e-01
9             	7.144804e-02	1.480501e-01	7.349479e-02	5.938932e-02	7.386669e-02	1.168060e-01
10            	2.133831e-02	1.437996e-01	3.623806e-02	3.533274e-01	6.251065e-02	1.012532e-01
11            	4.340008e-02	1.322651e-01	3.943478e-02	6.433532e-02	5.383817e-02	8.841921e-02
12            	5.376044e-02	1.219220e-01	4.883112e-02	4.841445e-02	4.716043e-02	7.784942e-02
13            	3.801510e-02	1.119849e-01	4.426313e-02	6.116757e-02	4.186385e-02	6.927827e-02
14            	1.245986e-02	1.139329e-01	2.864291e-02	1.731504e-01	3.752419e-02	6.210614e-02
15            	1.799439e-02	9.980857e-02	2.414862e-02	9.067732e-02	3.410431e-02	5.634119e-02
16            	2.718841e-02	8.004603e-02	2.565445e-02	5.474860e-02	3.136228e-02	5.163585e-02
17            	2.206588e-02	6.217723e-02	2.227321e-02	5.929203e-02	2.898493e-02	4.758412e-02
18            	9.596620e-03	5.447904e-02	1.569709e-02	1.188849e-01	2.691028e-02	4.406948e-02
19            	7.972064e-03	4.818728e-02	1.214913e-02	1.206274e-01	2.512866e-02	4.106213e-02
20            	1.257804e-02	4.114292e-02	1.336764e-02	5.835660e-02	2.364610e-02	3.852677e-02
21            	1.190307e-02	3.473481e-02	1.363315e-02	5.367114e-02	2.235981e-02	3.632322e-02
22            	6.535322e-03	3.378779e-02	1.149352e-02	9.015332e-02	2.119729e-02	3.432956e-02
23            	4.784344e-03	4.153693e-02	9.546145e-03	1.595626e-01	2.016333e-02	3.255541e-02
24            	6.718002e-03	4.222226e-02	9.569099e-03	6.331082e-02	1.920068e-02	3.089865e-02
25            	6.712619e-03	3.278286e-02	9.183561e-03	5.653361e-02	1.831886e-02	2.938677e-02
26            	4.776741e-03	2.107589e-02	8.122615e-03	8.079443e-02	1.751147e-02	2.800544e-02
27            	3.672650e-03	2.044955e-02	7.111392e-03	2.288404e-01	1.677232e-02	2.674636e-02
28            	3.925798e-03	1.737043e-02	6.818392e-03	7.593103e-02	1.610148e-02	2.560275e-02
29            	4.041286e-03	1.425316e-02	6.750180e-03	6.035991e-02	1.549337e-02	2.456231e-02
30            	3.463056e-03	1.192065e-02	6.496747e-03	7.408825e-02	1.492993e-02	2.360464e-02
31            	2.993485e-03	1.260145e-02	6.197048e-03	1.447290e-01	1.440479e-02	2.271284e-02
32            	2.944101e-03	1.141745e-02	6.011530e-03	9.908335e-02	1.391367e-02	2.188222e-02
33            	2.968948e-03	9.898422e-03	5.852069e-03	7.300488e-02	1.345351e-02	2.110676e-02
34            	2.789556e-03	8.692953e-03	5.614750e-03	8.144678e-02	1.302333e-02	2.038420e-02
35            	2.573667e-03	1.041738e-02	5.378080e-03	1.272870e-01	1.261858e-02	1.970855e-02
36            	2.460594e-03	1.098380e-02	5.195949e-03	1.101522e-01	1.223748e-02	1.907990e-02
37            	2.404629e-03	1.053834e-02	5.042895e-03	8.038832e-02	1.187878e-02	1.848785e-02
38            	2.319636e-03	9.436523e-03	4.925747e-03	7.780249e-02	1.153756e-02	1.792507e-02
39            	2.206057e-03	9.308087e-03	4.827101e-03	9.928685e-02	1.121000e-02	1.738410e-02
40            	2.123049e-03	9.683853e-03	4.746939e-03	1.448701e-01	1.089329e-02	1.686482e-02
41            	2.065938e-03	8.731890e-03	4.635039e-03	1.110464e-01	1.058779e-02	1.636443e-02
42            	2.005143e-03	7.546366e-03	4.526870e-03	1.092778e-01	1.029275e-02	1.588122e-02
43            	1.940685e-03	6.680079e-03	4.432505e-03	1.112559e-01	1.000656e-02	1.541217e-02
44            	1.874110e-03	7.084291e-03	4.337334e-03	1.353186e-01	9.728929e-03	1.495764e-02
45            	1.819711e-03	6.924611e-03	4.243553e-03	9.886158e-02	9.460394e-03	1.451643e-02
46            	1.768749e-03	6.141421e-03	4.165134e-03	9.697497e-02	9.200365e-03	1.409271e-02
47            	1.719471e-03	5.705863e-03	4.092060e-03	9.749650e-02	8.949502e-03	1.368354e-02
48            	1.671904e-03	5.534326e-03	4.026642e-03	9.763107e-02	8.708349e-03	1.329070e-02
49            	1.627964e-03	5.357433e-03	3.964443e-03	9.821629e-02	8.477605e-03	1.291473e-02
50            	1.586924e-03	5.314230e-03	3.901579e-03	1.109225e-01	8.255889e-03	1.255561e-02
51            	1.548493e-03	4.899658e-03	3.835731e-03	1.086524e-01	8.043949e-03	1.221134e-02
52            	1.512378e-03	4.869123e-03	3.778594e-03	1.175646e-01	7.838957e-03	1.188097e-02
53            	1.477719e-03	4.715690e-03	3.722192e-03	1.122413e-01	7.643688e-03	1.156530e-02
54            	1.444929e-03	4.699235e-03	3.669871e-03	1.097698e-01	7.456567e-03	1.126408e-02
55            	1.413698e-03	4.653075e-03	3.621062e-03	1.083574e-01	7.277346e-03	1.097355e-02
56            	1.384082e-03	4.548546e-03	3.573007e-03	1.077700e-01	7.103701e-03	1.069496e-02
57            	1.355790e-03	4.660772e-03	3.524358e-03	9.358600e-02	6.938126e-03	1.042743e-02
58            	1.329709e-03	4.518363e-03	3.480349e-03	8.732028e-02	6.778376e-03	1.016952e-02
59            	1.304705e-03	4.309276e-03	3.438453e-03	8.698962e-02	6.624780e-03	9.922236e-03
60            	1.280860e-03	4.139789e-03	3.397631e-03	8.503075e-02	6.475392e-03	9.683705e-03
61            	1.258119e-03	4.038839e-03	3.358699e-03	8.363235e-02	6.331728e-03	9.454090e-03
62            	1.235720e-03	4.082843e-03	3.323377e-03	9.519408e-02	6.192822e-03	9.232124e-03
63            	1.214689e-03	3.829024e-03	3.286639e-03	9.344780e-02	6.059547e-03	9.017899e-03
64            	1.194668e-03	3.749406e-03	3.251352e-03	9.242849e-02	5.930599e-03	8.811599e-03
65            	1.175357e-03	3.725005e-03	3.217157e-03	9.021855e-02	5.806230e-03	8.611980e-03
66            	1.157206e-03	3.633809e-03	3.184631e-03	9.104610e-02	5.684807e-03	8.419180e-03
67            	1.139714e-03	3.532924e-03	3.153138e-03	8.791663e-02	5.568682e-03	8.232263e-03
68            	1.123200e-03	3.474248e-03	3.123316e-03	8.936742e-02	5.455473e-03	8.051556e-03
69            	1.107113e-03	3.353666e-03	3.093208e-03	8.584952e-02	5.345664e-03	7.876387e-03
70            	1.091774e-03	3.211474e-03	3.065345e-03	8.653312e-02	5.239262e-03	7.706557e-03
71            	1.077061e-03	3.133757e-03	3.037794e-03	8.346172e-02	5.135385e-03	7.541481e-03
72            	1.062804e-03	3.074660e-03	3.011744e-03	8.251285e-02	5.035420e-03	7.382048e-03
73            	1.049255e-03	3.061335e-03	2.985734e-03	8.201417e-02	4.938288e-03	7.226995e-03
74            	1.036044e-03	3.044463e-03	2.959451e-03	8.023015e-02	4.844418e-03	7.077073e-03
75            	1.023274e-03	3.076034e-03	2.934892e-03	8.144912e-02	4.752937e-03	6.931597e-03
76            	1.010739e-03	3.031591e-03	2.910365e-03	7.874372e-02	4.664784e-03	6.790970e-03
77            	9.986002e-04	3.022870e-03	2.887888e-03	7.927626e-02	4.579440e-03	6.654874e-03
78            	9.869856e-04	2.977239e-03	2.864912e-03	7.742850e-02	4.497140e-03	6.522215e-03
79            	9.757126e-04	2.957014e-03	2.842680e-03	7.671338e-02	4.416809e-03	6.394113e-03
80            	9.648424e-04	2.925631e-03	2.821103e-03	7.432236e-02	4.339216e-03	6.269220e-03
81            	9.543240e-04	2.852342e-03	2.799720e-03	7.228452e-02	4.264338e-03	6.148830e-03
82            	9.441130e-04	2.792640e-03	2.779185e-03	7.192586e-02	4.190545e-03	6.029888e-03
83            	9.342827e-04	2.773950e-03	2.758988e-03	7.123917e-02	4.119935e-03	5.914636e-03
84            	9.247385e-04	2.798464e-03	2.738907e-03	7.111099e-02	4.050401e-03	5.801448e-03
85            	9.154363e-04	2.808594e-03	2.719439e-03	7.053371e-02	3.983879e-03	5.692219e-03
86            	9.064975e-04	2.854269e-03	2.699914e-03	6.374551e-02	3.918298e-03	5.585119e-03
87            	8.976536e-04	2.778767e-03	2.681625e-03	6.359485e-02	3.855699e-03	5.481894e-03
88            	8.890088e-04	2.729399e-03	2.663738e-03	6.175852e-02	3.793897e-03	5.380294e-03
89            	8.805363e-04	2.687093e-03	2.645619e-03	6.008792e-02	3.735097e-03	5.282304e-03
90            	8.723579e-04	2.722504e-03	2.628485e-03	6.438998e-02	3.676116e-03	5.185500e-03
91            	8.643359e-04	2.616830e-03	2.610662e-03	6.218740e-02	3.619885e-03	5.092180e-03
92            	8.565755e-04	2.576643e-03	2.593772e-03	6.251090e-02	3.563895e-03	5.000206e-03
93            	8.489520e-04	2.571754e-03	2.576682e-03	6.107503e-02	3.511071e-03	4.911397e-03
94            	8.414805e-04	2.543520e-03	2.559907e-03	6.129701e-02	3.458137e-03	4.824186e-03
95            	8.342325e-04	2.537682e-03	2.543305e-03	6.012230e-02	3.407179e-03	4.739589e-03
96            	8.272954e-04	2.611690e-03	2.527732e-03	6.415026e-02	3.357245e-03	4.656277e-03
97            	8.203295e-04	2.550526e-03	2.511238e-03	6.242061e-02	3.309837e-03	4.575528e-03
98            	8.135204e-04	2.506516e-03	2.495281e-03	6.114416e-02	3.262749e-03	4.495884e-03
99            	8.068850e-04	2.436450e-03	2.479576e-03	6.015164e-02	3.217433e-03	4.418775e-03
100           	8.001846e-04	2.428979e-03	2.463706e-03	5.449847e-02	3.171806e-03	4.343367e-03
101           	7.937263e-04	2.368142e-03	2.448458e-03	5.396097e-02	3.128752e-03	4.269770e-03
102           	7.874223e-04	2.335183e-03	2.432963e-03	5.378305e-02	3.085855e-03	4.198078e-03
103           	7.812193e-04	2.311000e-03	2.417877e-03	5.311226e-02	3.043991e-03	4.127113e-03
104           	7.751383e-04	2.262881e-03	2.403072e-03	5.337306e-02	3.002413e-03	4.059650e-03
